teff (K),abs (mag),spect
4200.023871,1.164,K0III
5767.544413,4.498,G1V
5272.171064,4.701,G5V
5509.552542,2.744,G3V
6543.078312,3.363,F2V
3528.4089,-0.154,K4III
4390.253375,1.154,K0III
3694.049359,-0.347,K4III
4496.994667,0.631,K0III
3488.978342,-0.673,M1III
4324.48024,0.115,K0III
3679.610482,-1.113,K4III
6251.750984,3.083,F5V
4180.142055,1.906,K2III
5445.979895,4.574,G3/G5V
6419.391066,2.937,F3V
5916.876245,2.555,F6V
5234.001291,4.703,K0V+...
6141.203225,3,F3V
4486.24273,2.896,K0III
5123.51587,5.243,G8/K0V
6701.983181,1.927,F0V
9481.891995,-1.48,B9.5IV
9846.775685,1.182,A1V
4596.748219,3.704,K1IV
5390.986769,4.062,F8V
4768.480052,1.161,G6III
4518.693125,1.46,K0III
5178.021997,3.6,G3/G5V
5597.269109,3.891,F7/F8V
12963.43256,-2.014,B2V
5030.065746,5.694,K0V
3493.560061,-0.749,K5III
6004.1156,-12.06,A9Iab:
4276.263755,-0.9,F2V
4560.650822,0.12,G8/K0III
5505.972004,3.346,G0V
4094.355838,-8.56,M0V:
3990.286448,1.799,K2III
4372.067965,0.958,K1III
6227.296609,3.491,F5IV
4027.507341,0.325,K1/K2III
3613.216904,0.321,K3/K4III
15853.28898,-2.567,B2IV
3964.895772,0.701,K1/K2III
6521.140052,3.27,F2V
3404.687601,-1.595,M0/M1III
5320.875154,0.647,G0III
5715.897293,2.397,B2.5V
4398.396672,1.12,K2III
4314.728334,0.286,K0III
4090.947425,2.313,K2III
4671.135032,6.352,K1V
6902.196535,2.996,F0IV
8071.985016,-0.168,A5IV
4490.535786,0.614,K0III
3590.924474,-2.053,K5III
4210.968567,0.024,K0III
3664.018883,-0.978,K4III
8053.418048,1.852,A5IV
3916.830991,0.598,K2III
5488.156188,3.262,G5V
5123.51587,5.523,G6V
5951.389681,2.987,F6V
14708.00147,-0.112,B4V
5498.828348,3.984,G1V
4236.78586,-1.032,G8II
4592.196982,0.657,G6III
10165.21809,1.152,A1V
3498.156852,-0.013,M4III:
6510.23969,2.265,F4V
